paper_id,table_count,n_questions,f1_row_a,f1_row_c,delta_f1
1911.03059,0,2,0.500000,0.500000,0.000000
1911.03343,0,1,0.523810,0.488889,-0.034921
1911.06118,1,2,0.000000,0.000000,0.000000
1911.06964,0,4,0.773810,0.773810,0.000000
1911.07555,0,9,0.387933,0.387933,0.000000
1911.10049,0,2,0.000000,0.125000,0.125000
1912.00667,0,6,0.609531,0.609531,0.000000
1912.00903,0,3,0.408065,0.408065,0.000000
1912.01214,0,4,0.615000,0.615000,0.000000
1912.01772,0,2,0.058824,0.058824,0.000000
1912.01852,0,2,0.735294,0.735294,0.000000
1912.03627,0,6,0.419035,0.419035,0.000000
1912.03804,0,5,0.459896,0.459896,0.000000
1912.04961,0,3,0.677656,0.677656,0.000000
1912.06262,0,2,0.971429,0.971429,0.000000
1912.08904,0,6,0.341330,0.341330,0.000000
1912.08960,0,4,0.468028,0.468028,0.000000
1912.10011,0,3,0.451258,0.451258,0.000000
1912.13337,0,5,0.464000,0.464000,0.000000
2001.01269,0,6,0.177329,0.185349,0.008020
2001.02284,0,3,0.023810,0.000000,-0.023810
2001.02885,0,6,0.500000,0.500000,0.000000
2001.03131,0,3,0.106667,0.281481,0.174815
2001.05865,0,2,0.928571,1.000000,0.071429
2001.07786,0,3,0.630303,0.630303,0.000000
2001.07820,0,3,0.763348,0.763348,0.000000
2001.08868,1,4,0.290323,0.290323,0.000000
2001.09215,0,2,0.833333,1.000000,0.166667
2002.01207,0,4,0.571338,0.571338,0.000000
2002.01320,0,8,0.485969,0.485969,0.000000
2002.01664,0,3,0.343915,0.356125,0.012210
2002.01984,0,4,0.818627,0.818627,0.000000
2002.02070,0,7,0.488951,0.437931,-0.051020
2002.03407,0,5,0.733333,0.733333,0.000000
2002.04095,0,1,0.333333,0.333333,0.000000
2002.04181,0,5,0.485606,0.588606,0.103000
2002.07306,1,6,0.416667,0.428571,0.011905
2002.08795,0,3,0.538690,0.538690,0.000000
2002.11910,0,3,0.407407,0.407407,0.000000
2002.12612,1,4,0.380208,0.611572,0.231363
2003.02249,0,2,0.500000,1.000000,0.500000
2003.03014,0,3,0.909091,0.909091,0.000000
2003.03044,0,3,0.133333,0.133333,0.000000
2003.03106,0,4,0.552449,0.552449,0.000000
2003.04642,0,4,0.250000,0.250000,0.000000
2003.04866,0,2,0.185484,0.185484,0.000000
2003.08380,0,1,1.000000,1.000000,0.000000
2003.08385,0,5,0.448995,0.448995,0.000000
2003.11562,0,2,0.650000,0.650000,0.000000
2003.11563,0,3,0.428571,0.428571,0.000000
2003.11645,0,4,0.798246,0.798246,0.000000
2003.13032,0,6,0.415893,0.415893,0.000000
2004.01853,0,2,0.422414,0.422414,0.000000
2004.01862,0,2,0.627692,0.627692,0.000000
2004.02192,0,5,0.674445,0.674445,0.000000
2004.03354,2,2,0.000000,0.062500,0.062500
2004.04721,0,7,0.128069,0.204943,0.076874
